Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Gas leakage,Heavy Earth Moving Machinery,5,0,24,<1 year,Basic,Morning,50
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Electrical accident,Loader,5,0,27,<1 year,None,Night,42
2015,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Workshop,Roof fall,Loader,4,0,27,1–3 years,Intermediate,Afternoon,73
2015,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Excavation Area,Roof fall,Heavy Earth Moving Machinery,4,0,47,5–10 years,Certified,Night,100
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,9,0,22,3–5 years,Basic,Afternoon,48
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Roof fall,Excavator,7,0,25,<1 year,Certified,Afternoon,78
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Opencast,Excavation Area,Fall of person,None,2,0,26,5–10 years,Advanced,Night,81
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Side fall,Heavy Earth Moving Machinery,6,0,42,10+ years,Intermediate,Morning,80
2015,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Explosion,Excavator,6,0,24,<1 year,Intermediate,Night,51
2015,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Workshop,Electrical accident,Loader,2,0,18,1–3 years,Certified,Morning,83
2015,West Bengal,Purulia,Purulia Coal Mine,Opencast,Excavation Area,Electrical accident,Drill,4,0,28,5–10 years,Intermediate,Night,66
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Machinery collision,Dumper,6,0,25,5–10 years,Basic,Morning,67
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Vehicle rollover,Loader,3,0,39,5–10 years,Intermediate,Night,79
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Fall of person,Drill,3,0,28,1–3 years,Advanced,Afternoon,78
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Side fall,Excavator,4,0,23,3–5 years,Basic,Night,67
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Machinery collision,Heavy Earth Moving Machinery,3,0,21,<1 year,Intermediate,Afternoon,63
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Excavation Area,Fall of person,Heavy Earth Moving Machinery,4,0,31,3–5 years,Basic,Night,81
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Side fall,None,5,0,20,<1 year,Basic,Night,53
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Opencast,Stockyard,Blasting accident,Loader,5,0,38,10+ years,Intermediate,Night,60
2016,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Blasting accident,Loader,7,0,32,<1 year,Advanced,Night,67
2016,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Excavation Area,Machinery collision,Heavy Earth Moving Machinery,4,0,30,5–10 years,Certified,Afternoon,83
2016,Chhattisgarh,Surguja,Bishrampur Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,1,0,31,5–10 years,Advanced,Morning,100
2016,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Workshop,Machinery collision,Excavator,7,1,20,<1 year,Basic,Afternoon,29
2016,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Excavation Area,Blasting accident,Dumper,2,0,33,10+ years,Advanced,Night,94
2016,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Face,Side fall,Excavator,4,0,22,<1 year,Intermediate,Night,54
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Haul Road,Electrical accident,Dumper,6,0,39,5–10 years,None,Night,61
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Excavation Area,Explosion,Heavy Earth Moving Machinery,3,0,41,10+ years,Certified,Morning,99
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Stockyard,Fire,None,7,0,20,<1 year,Intermediate,Night,61
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Face,Machinery collision,Excavator,4,0,45,10+ years,Advanced,Night,80
2016,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Face,Machinery collision,Drill,6,0,21,1–3 years,Intermediate,Afternoon,36
2016,Jharkhand,Bokaro,Bokaro Coal Mine,Underground,Shaft,Roof fall,None,4,0,30,<1 year,Basic,Afternoon,63
2016,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Haul Road,Fall of person,Loader,4,0,19,<1 year,Advanced,Morning,60
2016,Jharkhand,Giridih,Giridih Coalfield,Underground,Haul Road,Vehicle rollover,Heavy Earth Moving Machinery,5,0,28,3–5 years,Basic,Morning,74
2016,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Fall of person,Heavy Earth Moving Machinery,4,0,27,3–5 years,Intermediate,Morning,74
2016,Jharkhand,Ramgarh,Central Coal Mine,Underground,Excavation Area,Roof fall,Drill,5,0,25,1–3 years,Certified,Night,60
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Face,Gas leakage,Truck,8,0,26,<1 year,Basic,Afternoon,42
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Haul Road,Electrical accident,Excavator,3,0,25,<1 year,Advanced,Morning,83
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Stockyard,Vehicle rollover,Truck,5,0,18,<1 year,Advanced,Night,67
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Gas leakage,Heavy Earth Moving Machinery,8,0,18,<1 year,Advanced,Morning,61
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Haul Road,Vehicle rollover,Dumper,6,0,19,1–3 years,Certified,Afternoon,83
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Roof fall,None,3,0,31,1–3 years,Intermediate,Morning,59
2016,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Stockyard,Machinery collision,Loader,6,0,21,<1 year,Basic,Night,43
2016,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Shaft,Explosion,Truck,5,0,21,1–3 years,Intermediate,Morning,44
2016,Maharashtra,Chandrapur,Chandrapur Coal Mine,Opencast,Workshop,Blasting accident,Excavator,7,0,18,<1 year,None,Morning,34
2016,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,20,3–5 years,None,Night,25
2016,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,6,0,21,3–5 years,None,Night,47
2016,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Excavation Area,Roof fall,Truck,6,0,36,10+ years,Basic,Afternoon,100
2016,Odisha,Angul,Talcher Coal Mine,Underground,Face,Blasting accident,Drill,2,0,19,3–5 years,Certified,Morning,91
2016,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Blasting accident,Heavy Earth Moving Machinery,8,0,24,<1 year,None,Night,51
2016,Odisha,Angul,Talcher Coal Mine,Opencast,Stockyard,Fall of person,Excavator,3,0,23,<1 year,Certified,Night,77
2016,Odisha,Angul,Talcher Coal Mine,Underground,Haul Road,Machinery collision,Truck,5,0,22,<1 year,Certified,Night,79
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Side fall,None,6,0,24,1–3 years,Basic,Night,54
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Haul Road,Vehicle rollover,None,6,0,31,1–3 years,Advanced,Night,56
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Blasting accident,Drill,2,0,34,10+ years,Intermediate,Night,94
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Vehicle rollover,None,6,0,33,5–10 years,Basic,Morning,39
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Shaft,Gas leakage,None,2,0,25,3–5 years,Advanced,Morning,79
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Excavation Area,Gas leakage,Drill,3,1,43,3–5 years,Advanced,Afternoon,90
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Workshop,Gas leakage,None,6,0,40,10+ years,None,Night,58
2016,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Stockyard,Vehicle rollover,Dumper,5,1,33,5–10 years,Advanced,Morning,60
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Stockyard,Machinery collision,Truck,4,0,22,1–3 years,Basic,Afternoon,58
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Face,Blasting accident,Loader,10,1,25,1–3 years,Basic,Night,49
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Face,Roof fall,Heavy Earth Moving Machinery,5,1,42,3–5 years,Intermediate,Night,67
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Shaft,Gas leakage,None,6,0,20,3–5 years,None,Morning,63
2016,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Stockyard,Machinery collision,Truck,4,0,29,1–3 years,None,Night,82
2016,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Shaft,Machinery collision,Dumper,7,0,18,<1 year,None,Night,51
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Fire,Excavator,2,0,42,10+ years,Basic,Night,97
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Machinery collision,Truck,7,0,39,5–10 years,Basic,Night,50
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Explosion,Truck,6,0,30,3–5 years,Intermediate,Morning,80
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Workshop,Machinery collision,Excavator,3,0,20,<1 year,Certified,Afternoon,63
2016,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Electrical accident,Dumper,5,1,43,5–10 years,None,Night,46
2016,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Machinery collision,Truck,9,0,32,<1 year,None,Night,29
2016,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Roof fall,Dumper,7,1,22,<1 year,Basic,Night,56
2016,Uttar Pradesh,Sonbhadra,Singrauli Coal Mine,Underground,Face,Roof fall,Dumper,4,0,21,1–3 years,Certified,Night,82
2016,West Bengal,Bankura,Bankura Coal Mine,Opencast,Face,Fall of person,Heavy Earth Moving Machinery,3,0,18,<1 year,Certified,Night,92
2016,West Bengal,Bankura,Bankura Coal Mine,Underground,Workshop,Roof fall,Dumper,3,0,35,5–10 years,Advanced,Night,85
2016,West Bengal,Bankura,Bankura Coal Mine,Underground,Haul Road,Fire,Loader,5,1,35,3–5 years,None,Morning,51
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Stockyard,Fall of person,Dumper,2,0,32,3–5 years,Advanced,Night,97
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Excavation Area,Machinery collision,Loader,5,0,21,1–3 years,None,Night,37
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,43,10+ years,Basic,Afternoon,66
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Electrical accident,Heavy Earth Moving Machinery,7,1,26,<1 year,Intermediate,Afternoon,48
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Haul Road,Gas leakage,Heavy Earth Moving Machinery,8,1,24,1–3 years,None,Night,55
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Roof fall,Drill,4,0,30,3–5 years,Intermediate,Night,64
2016,West Bengal,Purulia,Purulia Coal Mine,Underground,Workshop,Fire,Excavator,4,0,22,<1 year,Advanced,Afternoon,57
2016,West Bengal,Purulia,Purulia Coal Mine,Opencast,Excavation Area,Roof fall,Heavy Earth Moving Machinery,8,0,46,10+ years,Basic,Morning,56
2017,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Excavation Area,Machinery collision,Truck,5,0,31,5–10 years,None,Morning,62
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Explosion,Truck,7,0,33,3–5 years,None,Morning,35
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Face,Blasting accident,Drill,6,0,30,<1 year,Intermediate,Afternoon,69
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Fall of person,Loader,9,1,29,<1 year,Certified,Night,68
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Fire,Dumper,3,0,44,10+ years,Certified,Night,100
2017,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Face,Gas leakage,None,6,0,33,1–3 years,Certified,Night,57
2017,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Workshop,Electrical accident,Truck,6,0,26,1–3 years,None,Afternoon,48
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Excavation Area,Explosion,Excavator,10,0,18,1–3 years,Intermediate,Morning,68
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Haul Road,Blasting accident,Dumper,10,0,29,1–3 years,None,Morning,33
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Opencast,Workshop,Vehicle rollover,Truck,5,1,23,1–3 years,None,Night,47
2017,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Excavation Area,Side fall,Drill,3,0,20,1–3 years,Advanced,Morning,75
2017,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Haul Road,Roof fall,Dumper,4,0,39,10+ years,Advanced,Morning,82
2017,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Haul Road,Machinery collision,Excavator,4,0,26,1–3 years,Advanced,Morning,82
2017,Jharkhand,Bokaro,Bokaro Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,5,0,21,1–3 years,Intermediate,Afternoon,61
2017,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Excavation Area,Machinery collision,Heavy Earth Moving Machinery,4,0,28,1–3 years,Basic,Night,58
2017,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Haul Road,Fire,Dumper,5,0,22,1–3 years,Advanced,Morning,64
2017,Jharkhand,Giridih,Giridih Coalfield,Underground,Face,Gas leakage,Heavy Earth Moving Machinery,6,1,21,3–5 years,Basic,Morning,62
2017,Jharkhand,Giridih,Giridih Coalfield,Underground,Excavation Area,Gas leakage,Dumper,4,0,38,10+ years,Intermediate,Afternoon,68
2017,Jharkhand,Giridih,Giridih Coalfield,Underground,Haul Road,Fire,Heavy Earth Moving Machinery,5,0,37,5–10 years,Basic,Afternoon,65
2017,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Haul Road,Blasting accident,Dumper,6,0,26,3–5 years,Basic,Afternoon,36
2017,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Haul Road,Roof fall,Drill,5,0,32,5–10 years,Intermediate,Night,59
2017,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Workshop,Machinery collision,Truck,6,0,36,1–3 years,Basic,Afternoon,63
2017,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Excavation Area,Explosion,Drill,3,0,31,1–3 years,Certified,Afternoon,84
2017,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Excavation Area,Roof fall,Excavator,4,0,18,<1 year,Basic,Afternoon,72
2017,Madhya Pradesh,Umaria,Umaria Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,24,1–3 years,None,Morning,43
2017,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Face,Blasting accident,Truck,4,0,30,5–10 years,Certified,Night,100
2017,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Shaft,Vehicle rollover,Truck,5,0,52,5–10 years,Basic,Afternoon,68
2017,Maharashtra,Chandrapur,Chandrapur Coal Mine,Opencast,Excavation Area,Vehicle rollover,Truck,7,0,32,<1 year,None,Afternoon,51
2017,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Gas leakage,None,3,0,50,10+ years,Certified,Night,83
2017,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Stockyard,Gas leakage,None,2,0,41,10+ years,Advanced,Afternoon,95
2017,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Fire,Dumper,6,0,35,1–3 years,Basic,Morning,50
2017,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Shaft,Machinery collision,Dumper,5,0,18,1–3 years,Advanced,Night,77
2017,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Excavation Area,Roof fall,Loader,6,1,36,1–3 years,None,Morning,38
2017,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Stockyard,Roof fall,Loader,3,0,29,3–5 years,Intermediate,Night,64
2017,Odisha,Angul,Talcher Coal Mine,Underground,Excavation Area,Fall of person,Loader,3,0,24,1–3 years,Intermediate,Morning,77
2017,Odisha,Angul,Talcher Coal Mine,Underground,Face,Side fall,Excavator,6,0,36,5–10 years,Basic,Morning,55
2017,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Fire,Dumper,5,0,21,<1 year,Advanced,Afternoon,59
2017,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Gas leakage,Drill,4,0,26,1–3 years,Certified,Morning,82
2017,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Excavation Area,Roof fall,Truck,4,1,30,3–5 years,Intermediate,Night,74
2017,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Roof fall,Drill,4,0,23,1–3 years,Intermediate,Morning,53
2017,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Stockyard,Gas leakage,None,4,0,35,5–10 years,Intermediate,Morning,70
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Stockyard,Fall of person,Truck,4,0,33,3–5 years,Certified,Afternoon,69
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Gas leakage,Dumper,4,0,38,5–10 years,Intermediate,Afternoon,68
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Fall of person,Loader,6,0,26,1–3 years,Basic,Morning,37
2017,Odisha,Sundargarh,Basundhara Coal Mine,Opencast,Haul Road,Electrical accident,Dumper,5,0,27,1–3 years,Advanced,Night,66
2017,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Excavation Area,Side fall,Excavator,7,0,21,<1 year,None,Morning,31
2017,Tamil Nadu,Ariyalur,Lignite Mine,Opencast,Haul Road,Vehicle rollover,Truck,6,0,18,<1 year,Intermediate,Morning,52
2017,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Underground,Shaft,Fall of person,Loader,3,0,36,3–5 years,Advanced,Afternoon,83
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Face,Side fall,None,9,0,20,<1 year,None,Night,44
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Fire,Dumper,5,0,18,<1 year,Advanced,Afternoon,54
2017,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Shaft,Electrical accident,Dumper,7,0,24,<1 year,Basic,Night,51
