Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score,Risk_Score,Risk_Level,Pre_Accident_Risk_Score,Pre_Accident_Risk_Level
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Fall of person,Heavy Earth Moving Machinery,7,0,28,<1 year,Intermediate,Afternoon,61,101.13740687044704,Very High,87.26870343522351,Very High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Stockyard,Vehicle rollover,Dumper,5,0,25,<1 year,Intermediate,Afternoon,49,96.19558521764284,Very High,83.89779260882142,Very High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Roof fall,Excavator,6,0,44,10+ years,Intermediate,Afternoon,70,71.0859120385303,High,56.04295601926515,Moderate
2015,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Face,Side fall,Dumper,4,0,18,<1 year,Certified,Morning,80,70.12062316642117,High,62.560311583210584,Moderate
2015,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Face,Fire,None,4,0,24,<1 year,Intermediate,Afternoon,53,,Very High,56.57872245808043,Moderate
2015,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Side fall,Dumper,4,0,34,5–10 years,Certified,Night,82,76.42848890487566,High,61.11424445243783,Moderate
2015,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Workshop,Roof fall,Dumper,6,0,24,1–3 years,None,Night,56,,Very High,90.68723657913692,Very High
2015,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Stockyard,Fire,Truck,5,0,39,5–10 years,Intermediate,Afternoon,71,65.54783937854906,High,48.97391968927453,Low
2015,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Excavation Area,Roof fall,Loader,5,0,34,3–5 years,Intermediate,Afternoon,85,78.29633587757918,High,60.14816793878959,Moderate
2015,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,3,0,30,3–5 years,Basic,Morning,91,62.059670878334735,High,46.72983543916737,Low
2015,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,32,3–5 years,Intermediate,Night,69,99.69231199877618,Very High,84.14615599938809,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Face,Gas leakage,Heavy Earth Moving Machinery,9,0,22,<1 year,None,Night,35,,Very High,114.72335257768174,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Gas leakage,Heavy Earth Moving Machinery,5,0,24,<1 year,Basic,Morning,50,115.1239980899838,Very High,95.06199904499191,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Electrical accident,Loader,5,0,27,<1 year,None,Night,42,,Very High,105.86256023823239,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Workshop,Roof fall,Loader,4,0,27,1–3 years,Intermediate,Afternoon,73,64.44312990710944,High,48.82156495355472,Low
2015,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Excavation Area,Roof fall,Heavy Earth Moving Machinery,4,0,47,5–10 years,Certified,Night,100,59.763150496595145,Moderate,40.38157524829757,Low
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,9,0,22,3–5 years,Basic,Afternoon,48,115.12505372561424,Very High,95.66252686280713,Very High
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Roof fall,Excavator,7,0,25,<1 year,Certified,Afternoon,78,84.70218050848943,High,61.95109025424472,Moderate
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Opencast,Excavation Area,Fall of person,None,2,0,26,5–10 years,Advanced,Night,81,,Very High,33.54165152430942,Low
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Side fall,Heavy Earth Moving Machinery,6,0,42,10+ years,Intermediate,Morning,80,77.25736409334473,High,60.62868204667237,Moderate
2015,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Explosion,Excavator,6,0,24,<1 year,Intermediate,Night,51,102.17466010397588,Very High,83.28733005198794,Very High
2015,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Workshop,Electrical accident,Loader,2,0,18,1–3 years,Certified,Morning,83,39.01517350367732,Moderate,35.10758675183866,Low
2015,West Bengal,Purulia,Purulia Coal Mine,Opencast,Excavation Area,Electrical accident,Drill,4,0,28,5–10 years,Intermediate,Night,66,65.8501032895768,High,51.6250516447884,Low
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Machinery collision,Dumper,6,0,25,5–10 years,Basic,Morning,67,91.6249601142833,Very High,74.21248005714165,High
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Vehicle rollover,Loader,3,0,39,5–10 years,Intermediate,Night,79,80.11195951367867,High,68.35597975683933,High
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Fall of person,Drill,3,0,28,1–3 years,Advanced,Afternoon,78,71.8141315915681,High,62.00706579578405,Moderate
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Side fall,Excavator,4,0,23,3–5 years,Basic,Night,67,88.64654410019054,Very High,76.22327205009528,High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Machinery collision,Heavy Earth Moving Machinery,3,0,21,<1 year,Intermediate,Afternoon,63,89.2195209815795,Very High,82.20976049078975,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Excavation Area,Fall of person,Heavy Earth Moving Machinery,4,0,31,3–5 years,Basic,Night,81,91.04558242203365,Very High,80.22279121101683,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Side fall,None,5,0,20,<1 year,Basic,Night,53,,Very High,91.57607313293194,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Opencast,Stockyard,Blasting accident,Loader,5,0,38,10+ years,Intermediate,Night,60,74.85669584356019,High,53.928347921780095,Low
2016,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Blasting accident,Loader,7,0,32,<1 year,Advanced,Night,67,104.45857462325604,Very High,78.62928731162802,High
2016,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Excavation Area,Machinery collision,Heavy Earth Moving Machinery,4,0,30,5–10 years,Certified,Afternoon,83,49.32101958364102,Moderate,39.26050979182051,Low
2016,Chhattisgarh,Surguja,Bishrampur Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,1,0,31,5–10 years,Advanced,Morning,100,51.287610017500896,Moderate,36.64380500875045,Low
2016,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Workshop,Machinery collision,Excavator,7,1,20,<1 year,Basic,Afternoon,29,116.74818827295267,Very High,95.67409413647634,Very High
2016,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Excavation Area,Blasting accident,Dumper,2,0,33,10+ years,Advanced,Night,94,67.20397059813654,High,52.401985299068265,Low
2016,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Face,Side fall,Excavator,4,0,22,<1 year,Intermediate,Night,54,82.76704310614201,High,69.183521553071,High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Haul Road,Electrical accident,Dumper,6,0,39,5–10 years,None,Night,61,,Very High,84.52486217079822,Very High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Excavation Area,Explosion,Heavy Earth Moving Machinery,3,0,41,10+ years,Certified,Morning,99,62.52131244864995,High,43.06065622432497,Low
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Stockyard,Fire,None,7,0,20,<1 year,Intermediate,Night,61,,Very High,75.2142251430235,High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Face,Machinery collision,Excavator,4,0,45,10+ years,Advanced,Night,80,72.91157617896606,High,57.95578808948303,Moderate
2016,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Face,Machinery collision,Drill,6,0,21,1–3 years,Intermediate,Afternoon,36,79.5269191269054,High,65.9634595634527,Moderate
2016,Jharkhand,Bokaro,Bokaro Coal Mine,Underground,Shaft,Roof fall,None,4,0,30,<1 year,Basic,Afternoon,63,,Very High,70.88301279421363,High
2016,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Haul Road,Fall of person,Loader,4,0,19,<1 year,Advanced,Morning,60,66.99297182566185,High,60.99648591283093,Moderate
2016,Jharkhand,Giridih,Giridih Coalfield,Underground,Haul Road,Vehicle rollover,Heavy Earth Moving Machinery,5,0,28,3–5 years,Basic,Morning,74,96.0616084708083,Very High,78.83080423540414,High
2016,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Fall of person,Heavy Earth Moving Machinery,4,0,27,3–5 years,Intermediate,Morning,74,65.71500443863874,High,52.65750221931937,Low
2016,Jharkhand,Ramgarh,Central Coal Mine,Underground,Excavation Area,Roof fall,Drill,5,0,25,1–3 years,Certified,Night,60,79.88095918493184,High,65.94047959246592,Moderate
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Face,Gas leakage,Truck,8,0,26,<1 year,Basic,Afternoon,42,123.25306973245344,Very High,99.02653486622671,Very High
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Haul Road,Electrical accident,Excavator,3,0,25,<1 year,Advanced,Morning,83,56.18831019739216,Moderate,43.69415509869608,Low
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Stockyard,Vehicle rollover,Truck,5,0,18,<1 year,Advanced,Night,67,98.07457996213157,Very High,85.43728998106577,Very High
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Gas leakage,Heavy Earth Moving Machinery,8,0,18,<1 year,Advanced,Morning,61,88.79178762449058,Very High,66.0958938122453,Moderate
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Haul Road,Vehicle rollover,Dumper,6,0,19,1–3 years,Certified,Afternoon,83,80.48935141360893,High,66.84467570680447,Moderate
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Roof fall,None,3,0,31,1–3 years,Intermediate,Morning,59,,Very High,45.71578369373569,Low
2016,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Stockyard,Machinery collision,Loader,6,0,21,<1 year,Basic,Night,43,87.94594020747152,Very High,75.57297010373577,High
2016,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Shaft,Explosion,Truck,5,0,21,1–3 years,Intermediate,Morning,44,93.58448110825832,Very High,71.59224055412915,High
2016,Maharashtra,Chandrapur,Chandrapur Coal Mine,Opencast,Workshop,Blasting accident,Excavator,7,0,18,<1 year,None,Morning,34,,Very High,77.52211054435978,High
2016,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,20,3–5 years,None,Night,25,,Very High,104.51022691328492,Very High
2016,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,6,0,21,3–5 years,None,Night,47,,Very High,83.0308257332497,Very High
2016,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Excavation Area,Roof fall,Truck,6,0,36,10+ years,Basic,Afternoon,100,59.33851703179835,Moderate,38.16925851589917,Low
2016,Odisha,Angul,Talcher Coal Mine,Underground,Face,Blasting accident,Drill,2,0,19,3–5 years,Certified,Morning,91,52.91741870893856,Moderate,42.65870935446928,Low
2016,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Blasting accident,Heavy Earth Moving Machinery,8,0,24,<1 year,None,Night,51,,Very High,92.81457096694646,Very High
2016,Odisha,Angul,Talcher Coal Mine,Opencast,Stockyard,Fall of person,Excavator,3,0,23,<1 year,Certified,Night,77,54.990890923113525,Moderate,45.89544546155676,Low
2016,Odisha,Angul,Talcher Coal Mine,Underground,Haul Road,Machinery collision,Truck,5,0,22,<1 year,Certified,Night,79,89.75485715333596,Very High,76.17742857666798,High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Side fall,None,6,0,24,1–3 years,Basic,Night,54,,Very High,78.80810171362907,High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Haul Road,Vehicle rollover,None,6,0,31,1–3 years,Advanced,Night,56,,Very High,75.77237180242106,High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Blasting accident,Drill,2,0,34,10+ years,Intermediate,Night,94,65.09831125132736,High,49.34915562566368,Low
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Vehicle rollover,None,6,0,33,5–10 years,Basic,Morning,39,,Very High,70.01510078144553,High
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Shaft,Gas leakage,None,2,0,25,3–5 years,Advanced,Morning,79,,Very High,45.35110816846767,Low
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Excavation Area,Gas leakage,Drill,3,1,43,3–5 years,Advanced,Afternoon,90,69.32491513880383,High,43.162457569401916,Low
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Workshop,Gas leakage,None,6,0,40,10+ years,None,Night,58,,Very High,66.94697224910156,Moderate
2016,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Stockyard,Vehicle rollover,Dumper,5,1,33,5–10 years,Advanced,Morning,60,75.2409208397641,High,46.12046041988205,Low
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Stockyard,Machinery collision,Truck,4,0,22,1–3 years,Basic,Afternoon,58,91.65296844994114,Very High,73.92648422497058,High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Face,Blasting accident,Loader,10,1,25,1–3 years,Basic,Night,49,128.6305561408755,Very High,90.11527807043775,Very High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Face,Roof fall,Heavy Earth Moving Machinery,5,1,42,3–5 years,Intermediate,Night,67,100.40618936933446,Very High,69.10309468466723,High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Shaft,Gas leakage,None,6,0,20,3–5 years,None,Morning,63,,Very High,69.4305764605895,High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Stockyard,Machinery collision,Truck,4,0,29,1–3 years,None,Night,82,,Very High,78.66264392476094,High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Shaft,Machinery collision,Dumper,7,0,18,<1 year,None,Night,51,,Very High,106.78564562903004,Very High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Fire,Excavator,2,0,42,10+ years,Basic,Night,97,62.2077321307471,High,44.00386606537355,Low
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Machinery collision,Truck,7,0,39,5–10 years,Basic,Night,50,99.16412778817218,Very High,79.58206389408609,High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Explosion,Truck,6,0,30,3–5 years,Intermediate,Morning,80,75.36245018082104,High,50.18122509041052,Low
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Workshop,Machinery collision,Excavator,3,0,20,<1 year,Certified,Afternoon,63,65.41117724374439,High,55.3055886218722,Low
2016,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Electrical accident,Dumper,5,1,43,5–10 years,None,Night,46,,Very High,91.19629787441544,Very High
2016,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Machinery collision,Truck,9,0,32,<1 year,None,Night,29,,Very High,117.67371418760054,Very High
2016,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Roof fall,Dumper,7,1,22,<1 year,Basic,Night,56,132.36182250323992,Very High,97.38091125161996,Very High
2016,Uttar Pradesh,Sonbhadra,Singrauli Coal Mine,Underground,Face,Roof fall,Dumper,4,0,21,1–3 years,Certified,Night,82,77.23785469947725,High,64.01892734973862,Moderate
2016,West Bengal,Bankura,Bankura Coal Mine,Opencast,Face,Fall of person,Heavy Earth Moving Machinery,3,0,18,<1 year,Certified,Night,92,64.93480908158891,High,57.86740454079445,Moderate
2016,West Bengal,Bankura,Bankura Coal Mine,Underground,Workshop,Roof fall,Dumper,3,0,35,5–10 years,Advanced,Night,85,71.39860546035057,High,57.69930273017528,Moderate
2016,West Bengal,Bankura,Bankura Coal Mine,Underground,Haul Road,Fire,Loader,5,1,35,3–5 years,None,Morning,51,,Very High,82.4930486917676,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Stockyard,Fall of person,Dumper,2,0,32,3–5 years,Advanced,Night,97,56.997346275735474,Moderate,52.39867313786773,Low
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Excavation Area,Machinery collision,Loader,5,0,21,1–3 years,None,Night,37,,Very High,84.63712594961206,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,43,10+ years,Basic,Afternoon,66,73.35078514509557,High,59.87539257254779,Moderate
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Electrical accident,Heavy Earth Moving Machinery,7,1,26,<1 year,Intermediate,Afternoon,48,112.69436972254071,Very High,82.94718486127036,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Haul Road,Gas leakage,Heavy Earth Moving Machinery,8,1,24,1–3 years,None,Night,55,,Very High,101.6611515315324,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Roof fall,Drill,4,0,30,3–5 years,Intermediate,Night,64,89.59973762007016,Very High,73.09986881003508,High
2016,West Bengal,Purulia,Purulia Coal Mine,Underground,Workshop,Fire,Excavator,4,0,22,<1 year,Advanced,Afternoon,57,80.06698683065505,High,67.93349341532753,High
2016,West Bengal,Purulia,Purulia Coal Mine,Opencast,Excavation Area,Roof fall,Heavy Earth Moving Machinery,8,0,46,10+ years,Basic,Morning,56,83.3117539351773,High,60.35587696758865,Moderate
2017,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Excavation Area,Machinery collision,Truck,5,0,31,5–10 years,None,Morning,62,,Very High,63.627034434739336,Moderate
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Explosion,Truck,7,0,33,3–5 years,None,Morning,35,,Very High,95.03827136713208,Very High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Face,Blasting accident,Drill,6,0,30,<1 year,Intermediate,Afternoon,69,90.30983973841651,Very High,68.95491986920825,High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Fall of person,Loader,9,1,29,<1 year,Certified,Night,68,106.0285710171297,Very High,72.61428550856486,High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Fire,Dumper,3,0,44,10+ years,Certified,Night,100,54.57006706175509,Moderate,41.78503353087754,Low
2017,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Face,Gas leakage,None,6,0,33,1–3 years,Certified,Night,57,,Very High,65.8692677170646,Moderate
2017,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Workshop,Electrical accident,Truck,6,0,26,1–3 years,None,Afternoon,48,,Very High,77.51976558849685,High
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Excavation Area,Explosion,Excavator,10,0,18,1–3 years,Intermediate,Morning,68,96.92729148710924,Very High,68.56364574355462,High
