Year,State,District,Mine_Name,Mine_Type,Place_of_Operation,Accident_Type,Machinery_Involved,Injured,Death,Worker_Age,Worker_Experience_Years,Training_Level,Shift,Safety_Compliance_Score,Risk_Score,Risk_Level
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Workshop,Gas leakage,Drill,4,0,29,1–3 years,Intermediate,Afternoon,95,63.35078519465883,High
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Excavation Area,Side fall,Excavator,4,0,33,1–3 years,Basic,Morning,53,78.66259507568621,High
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Workshop,Machinery collision,Truck,5,0,32,5–10 years,Intermediate,Night,68,72.89689479805385,High
2015,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Stockyard,Side fall,Heavy Earth Moving Machinery,9,0,21,<1 year,Intermediate,Night,52,114.4701128187517,Very High
2015,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Haul Road,Blasting accident,Truck,5,0,18,<1 year,Advanced,Night,68,86.10100725514617,Very High
2015,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Underground,Stockyard,Electrical accident,Excavator,4,0,35,5–10 years,,Afternoon,59,,Very High
2015,Madhya Pradesh,Umaria,Umaria Coal Mine,Underground,Workshop,Fall of person,Truck,4,0,26,3–5 years,Basic,Morning,67,79.64369035883946,High
2015,Madhya Pradesh,Umaria,Umaria Coal Mine,Opencast,Haul Road,Blasting accident,Dumper,4,0,47,10+ years,Intermediate,Morning,78,60.19602569031078,High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Excavation Area,Fall of person,Dumper,7,0,38,3–5 years,Basic,Night,50,103.5027920733827,Very High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Workshop,Fire,Heavy Earth Moving Machinery,6,0,34,3–5 years,Basic,Night,37,111.79744524032478,Very High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,3,0,20,1–3 years,,Afternoon,55,,Very High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Roof fall,Drill,8,0,30,1–3 years,Intermediate,Morning,74,77.99317355108242,High
2015,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Haul Road,Blasting accident,Heavy Earth Moving Machinery,5,0,34,3–5 years,Basic,Afternoon,55,116.40911273803574,Very High
2015,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Excavation Area,Machinery collision,Dumper,4,0,36,3–5 years,Basic,Afternoon,88,77.74601110104827,High
2015,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Excavation Area,Blasting accident,Excavator,5,0,32,3–5 years,Basic,Morning,68,66.5691562841764,High
2015,Maharashtra,Yavatmal,Wani Coal Mine,Underground,Haul Road,Vehicle rollover,Dumper,5,0,43,10+ years,Advanced,Morning,66,78.89017964841275,High
2015,Odisha,Angul,Talcher Coal Mine,Underground,Stockyard,Gas leakage,Dumper,6,0,18,<1 year,Advanced,Night,49,100.51662540011591,Very High
2015,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,33,5–10 years,Advanced,Morning,90,58.83545438001902,Moderate
2015,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Fire,Heavy Earth Moving Machinery,3,0,30,5–10 years,,Morning,70,,Very High
2015,Odisha,Angul,Talcher Coal Mine,Underground,Excavation Area,Fall of person,Loader,3,0,36,1–3 years,Advanced,Morning,70,62.68725580440628,High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Side fall,,8,0,23,3–5 years,Intermediate,Afternoon,57,,Very High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Opencast,Haul Road,Machinery collision,Truck,3,0,45,10+ years,Intermediate,Morning,72,65.15386631998165,High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Haul Road,Vehicle rollover,Truck,5,1,33,5–10 years,Basic,Morning,69,101.08547312475989,Very High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Fall of person,Heavy Earth Moving Machinery,7,0,28,<1 year,Intermediate,Afternoon,61,101.13740687044704,Very High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Stockyard,Vehicle rollover,Dumper,5,0,25,<1 year,Intermediate,Afternoon,49,96.19558521764284,Very High
2015,Odisha,Jharsuguda,Ib Valley Coal Mine,Underground,Face,Roof fall,Excavator,6,0,44,10+ years,Intermediate,Afternoon,70,71.0859120385303,High
2015,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Face,Side fall,Dumper,4,0,18,<1 year,Certified,Morning,80,70.12062316642117,High
2015,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Face,Fire,,4,0,24,<1 year,Intermediate,Afternoon,53,,Very High
2015,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Excavation Area,Side fall,Dumper,4,0,34,5–10 years,Certified,Night,82,76.42848890487566,High
2015,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Workshop,Roof fall,Dumper,6,0,24,1–3 years,,Night,56,,Very High
2015,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Stockyard,Fire,Truck,5,0,39,5–10 years,Intermediate,Afternoon,71,65.54783937854906,High
2015,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Excavation Area,Roof fall,Loader,5,0,34,3–5 years,Intermediate,Afternoon,85,78.29633587757918,High
2015,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,3,0,30,3–5 years,Basic,Morning,91,62.059670878334735,High
2015,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,32,3–5 years,Intermediate,Night,69,99.69231199877618,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Face,Gas leakage,Heavy Earth Moving Machinery,9,0,22,<1 year,,Night,35,,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Gas leakage,Heavy Earth Moving Machinery,5,0,24,<1 year,Basic,Morning,50,115.1239980899838,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Electrical accident,Loader,5,0,27,<1 year,,Night,42,,Very High
2015,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Workshop,Roof fall,Loader,4,0,27,1–3 years,Intermediate,Afternoon,73,64.44312990710944,High
2015,Telangana,Peddapalli,Singareni Coal Mine,Opencast,Excavation Area,Roof fall,Heavy Earth Moving Machinery,4,0,47,5–10 years,Certified,Night,100,59.763150496595145,Moderate
2015,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,9,0,22,3–5 years,Basic,Afternoon,48,115.12505372561425,Very High
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Roof fall,Excavator,7,0,25,<1 year,Certified,Afternoon,78,84.70218050848943,High
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Opencast,Excavation Area,Fall of person,,2,0,26,5–10 years,Advanced,Night,81,,Very High
2015,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Side fall,Heavy Earth Moving Machinery,6,0,42,10+ years,Intermediate,Morning,80,77.25736409334473,High
2015,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Explosion,Excavator,6,0,24,<1 year,Intermediate,Night,51,102.17466010397588,Very High
2015,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Workshop,Electrical accident,Loader,2,0,18,1–3 years,Certified,Morning,83,39.01517350367732,Moderate
2015,West Bengal,Purulia,Purulia Coal Mine,Opencast,Excavation Area,Electrical accident,Drill,4,0,28,5–10 years,Intermediate,Night,66,65.8501032895768,High
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Machinery collision,Dumper,6,0,25,5–10 years,Basic,Morning,67,91.6249601142833,Very High
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Vehicle rollover,Loader,3,0,39,5–10 years,Intermediate,Night,79,80.11195951367867,High
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Haul Road,Fall of person,Drill,3,0,28,1–3 years,Advanced,Afternoon,78,71.8141315915681,High
2016,Chhattisgarh,Korba,Gevra Coal Mine,Underground,Face,Side fall,Excavator,4,0,23,3–5 years,Basic,Night,67,88.64654410019054,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Machinery collision,Heavy Earth Moving Machinery,3,0,21,<1 year,Intermediate,Afternoon,63,89.2195209815795,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Excavation Area,Fall of person,Heavy Earth Moving Machinery,4,0,31,3–5 years,Basic,Night,81,91.04558242203365,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Side fall,,5,0,20,<1 year,Basic,Night,53,,Very High
2016,Chhattisgarh,Koriya,Chirimiri Coal Mine,Opencast,Stockyard,Blasting accident,Loader,5,0,38,10+ years,Intermediate,Night,60,74.85669584356019,High
2016,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Excavation Area,Blasting accident,Loader,7,0,32,<1 year,Advanced,Night,67,104.45857462325603,Very High
2016,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Excavation Area,Machinery collision,Heavy Earth Moving Machinery,4,0,30,5–10 years,Certified,Afternoon,83,49.32101958364102,Moderate
2016,Chhattisgarh,Surguja,Bishrampur Coal Mine,Opencast,Haul Road,Vehicle rollover,Truck,1,0,31,5–10 years,Advanced,Morning,100,51.287610017500896,Moderate
2016,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Workshop,Machinery collision,Excavator,7,1,20,<1 year,Basic,Afternoon,29,116.74818827295269,Very High
2016,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Excavation Area,Blasting accident,Dumper,2,0,33,10+ years,Advanced,Night,94,67.20397059813654,High
2016,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Opencast,Face,Side fall,Excavator,4,0,22,<1 year,Intermediate,Night,54,82.76704310614201,High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Haul Road,Electrical accident,Dumper,6,0,39,5–10 years,,Night,61,,Very High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Excavation Area,Explosion,Heavy Earth Moving Machinery,3,0,41,10+ years,Certified,Morning,99,62.52131244864995,High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Stockyard,Fire,,7,0,20,<1 year,Intermediate,Night,61,,Very High
2016,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Face,Machinery collision,Excavator,4,0,45,10+ years,Advanced,Night,80,72.91157617896606,High
2016,Jharkhand,Bokaro,Bokaro Coal Mine,Opencast,Face,Machinery collision,Drill,6,0,21,1–3 years,Intermediate,Afternoon,36,79.5269191269054,High
2016,Jharkhand,Bokaro,Bokaro Coal Mine,Underground,Shaft,Roof fall,,4,0,30,<1 year,Basic,Afternoon,63,,Very High
2016,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Haul Road,Fall of person,Loader,4,0,19,<1 year,Advanced,Morning,60,66.99297182566185,High
2016,Jharkhand,Giridih,Giridih Coalfield,Underground,Haul Road,Vehicle rollover,Heavy Earth Moving Machinery,5,0,28,3–5 years,Basic,Morning,74,96.0616084708083,Very High
2016,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Stockyard,Fall of person,Heavy Earth Moving Machinery,4,0,27,3–5 years,Intermediate,Morning,74,65.71500443863874,High
2016,Jharkhand,Ramgarh,Central Coal Mine,Underground,Excavation Area,Roof fall,Drill,5,0,25,1–3 years,Certified,Night,60,79.88095918493184,High
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Face,Gas leakage,Truck,8,0,26,<1 year,Basic,Afternoon,42,123.25306973245343,Very High
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Opencast,Haul Road,Electrical accident,Excavator,3,0,25,<1 year,Advanced,Morning,83,56.188310197392155,Moderate
2016,Madhya Pradesh,Betul,Pathakhera Coal Mine,Underground,Stockyard,Vehicle rollover,Truck,5,0,18,<1 year,Advanced,Night,67,98.07457996213157,Very High
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Gas leakage,Heavy Earth Moving Machinery,8,0,18,<1 year,Advanced,Morning,61,88.79178762449058,Very High
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Haul Road,Vehicle rollover,Dumper,6,0,19,1–3 years,Certified,Afternoon,83,80.48935141360893,High
2016,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Face,Roof fall,,3,0,31,1–3 years,Intermediate,Morning,59,,Very High
2016,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Stockyard,Machinery collision,Loader,6,0,21,<1 year,Basic,Night,43,87.94594020747152,Very High
2016,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Shaft,Explosion,Truck,5,0,21,1–3 years,Intermediate,Morning,44,93.58448110825832,Very High
2016,Maharashtra,Chandrapur,Chandrapur Coal Mine,Opencast,Workshop,Blasting accident,Excavator,7,0,18,<1 year,,Morning,34,,Very High
2016,Maharashtra,Nagpur,Umrer Coal Mine,Opencast,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,20,3–5 years,,Night,25,,Very High
2016,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Haul Road,Vehicle rollover,Dumper,6,0,21,3–5 years,,Night,47,,Very High
2016,Maharashtra,Yavatmal,Wani Coal Mine,Opencast,Excavation Area,Roof fall,Truck,6,0,36,10+ years,Basic,Afternoon,100,59.33851703179835,Moderate
2016,Odisha,Angul,Talcher Coal Mine,Underground,Face,Blasting accident,Drill,2,0,19,3–5 years,Certified,Morning,91,52.91741870893856,Moderate
2016,Odisha,Angul,Talcher Coal Mine,Opencast,Haul Road,Blasting accident,Heavy Earth Moving Machinery,8,0,24,<1 year,,Night,51,,Very High
2016,Odisha,Angul,Talcher Coal Mine,Opencast,Stockyard,Fall of person,Excavator,3,0,23,<1 year,Certified,Night,77,54.990890923113525,Moderate
2016,Odisha,Angul,Talcher Coal Mine,Underground,Haul Road,Machinery collision,Truck,5,0,22,<1 year,Certified,Night,79,89.75485715333596,Very High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Side fall,,6,0,24,1–3 years,Basic,Night,54,,Very High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Haul Road,Vehicle rollover,,6,0,31,1–3 years,Advanced,Night,56,,Very High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Blasting accident,Drill,2,0,34,10+ years,Intermediate,Night,94,65.09831125132736,High
2016,Odisha,Sundargarh,Basundhara Coal Mine,Underground,Face,Vehicle rollover,,6,0,33,5–10 years,Basic,Morning,39,,Very High
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Shaft,Gas leakage,,2,0,25,3–5 years,Advanced,Morning,79,,Very High
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Excavation Area,Gas leakage,Drill,3,1,43,3–5 years,Advanced,Afternoon,90,69.32491513880383,High
2016,Tamil Nadu,Ariyalur,Lignite Mine,Underground,Workshop,Gas leakage,,6,0,40,10+ years,,Night,58,,Very High
2016,Tamil Nadu,Cuddalore,Neyveli Lignite Mine,Opencast,Stockyard,Vehicle rollover,Dumper,5,1,33,5–10 years,Advanced,Morning,60,75.2409208397641,High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Stockyard,Machinery collision,Truck,4,0,22,1–3 years,Basic,Afternoon,58,91.65296844994114,Very High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Face,Blasting accident,Loader,10,1,25,1–3 years,Basic,Night,49,128.6305561408755,Very High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Opencast,Face,Roof fall,Heavy Earth Moving Machinery,5,1,42,3–5 years,Intermediate,Night,67,100.40618936933446,Very High
2016,Telangana,Bhadradri Kothagudem,Kothagudem Coal Mine,Underground,Shaft,Gas leakage,,6,0,20,3–5 years,,Morning,63,,Very High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Stockyard,Machinery collision,Truck,4,0,29,1–3 years,,Night,82,,Very High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Underground,Shaft,Machinery collision,Dumper,7,0,18,<1 year,,Night,51,,Very High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Fire,Excavator,2,0,42,10+ years,Basic,Night,97,62.2077321307471,High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Machinery collision,Truck,7,0,39,5–10 years,Basic,Night,50,99.16412778817218,Very High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Haul Road,Explosion,Truck,6,0,30,3–5 years,Intermediate,Morning,80,75.36245018082104,High
2016,Telangana,Mancherial,Bellampalli Coal Mine,Opencast,Workshop,Machinery collision,Excavator,3,0,20,<1 year,Certified,Afternoon,63,65.41117724374439,High
2016,Telangana,Peddapalli,Singareni Coal Mine,Underground,Shaft,Electrical accident,Dumper,5,1,43,5–10 years,,Night,46,,Very High
2016,Telangana,Peddapalli,Singareni Coal Mine,Underground,Haul Road,Machinery collision,Truck,9,0,32,<1 year,,Night,29,,Very High
2016,Uttar Pradesh,Mirzapur,Obra Coal Mine,Underground,Face,Roof fall,Dumper,7,1,22,<1 year,Basic,Night,56,132.36182250323992,Very High
2016,Uttar Pradesh,Sonbhadra,Singrauli Coal Mine,Underground,Face,Roof fall,Dumper,4,0,21,1–3 years,Certified,Night,82,77.23785469947725,High
2016,West Bengal,Bankura,Bankura Coal Mine,Opencast,Face,Fall of person,Heavy Earth Moving Machinery,3,0,18,<1 year,Certified,Night,92,64.93480908158891,High
2016,West Bengal,Bankura,Bankura Coal Mine,Underground,Workshop,Roof fall,Dumper,3,0,35,5–10 years,Advanced,Night,85,71.39860546035057,High
2016,West Bengal,Bankura,Bankura Coal Mine,Underground,Haul Road,Fire,Loader,5,1,35,3–5 years,,Morning,51,,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Stockyard,Fall of person,Dumper,2,0,32,3–5 years,Advanced,Night,97,56.997346275735474,Moderate
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Excavation Area,Machinery collision,Loader,5,0,21,1–3 years,,Night,37,,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Machinery collision,Truck,5,0,43,10+ years,Basic,Afternoon,66,73.35078514509557,High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Opencast,Haul Road,Electrical accident,Heavy Earth Moving Machinery,7,1,26,<1 year,Intermediate,Afternoon,48,112.69436972254073,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Haul Road,Gas leakage,Heavy Earth Moving Machinery,8,1,24,1–3 years,,Night,55,,Very High
2016,West Bengal,Paschim Bardhaman,Raniganj Coal Mine,Underground,Face,Roof fall,Drill,4,0,30,3–5 years,Intermediate,Night,64,89.59973762007016,Very High
2016,West Bengal,Purulia,Purulia Coal Mine,Underground,Workshop,Fire,Excavator,4,0,22,<1 year,Advanced,Afternoon,57,80.06698683065505,High
2016,West Bengal,Purulia,Purulia Coal Mine,Opencast,Excavation Area,Roof fall,Heavy Earth Moving Machinery,8,0,46,10+ years,Basic,Morning,56,83.3117539351773,High
2017,Chhattisgarh,Korba,Gevra Coal Mine,Opencast,Excavation Area,Machinery collision,Truck,5,0,31,5–10 years,,Morning,62,,Very High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Haul Road,Explosion,Truck,7,0,33,3–5 years,,Morning,35,,Very High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Face,Blasting accident,Drill,6,0,30,<1 year,Intermediate,Afternoon,69,90.30983973841653,Very High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Fall of person,Loader,9,1,29,<1 year,Certified,Night,68,106.0285710171297,Very High
2017,Chhattisgarh,Koriya,Chirimiri Coal Mine,Underground,Stockyard,Fire,Dumper,3,0,44,10+ years,Certified,Night,100,54.57006706175509,Moderate
2017,Chhattisgarh,Raigarh,Raigarh Coal Mine,Underground,Face,Gas leakage,,6,0,33,1–3 years,Certified,Night,57,,Very High
2017,Chhattisgarh,Raigarh,Raigarh Coal Mine,Opencast,Workshop,Electrical accident,Truck,6,0,26,1–3 years,,Afternoon,48,,Very High
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Excavation Area,Explosion,Excavator,10,0,18,1–3 years,Intermediate,Morning,68,96.92729148710924,Very High
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Underground,Haul Road,Blasting accident,Dumper,10,0,29,1–3 years,,Morning,33,,Very High
2017,Chhattisgarh,Surguja,Bishrampur Coal Mine,Opencast,Workshop,Vehicle rollover,Truck,5,1,23,1–3 years,,Night,47,,Very High
2017,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Excavation Area,Side fall,Drill,3,0,20,1–3 years,Advanced,Morning,75,65.0877662624676,High
2017,Gujarat,Bhavnagar,Bhavnagar Lignite Mine,Underground,Haul Road,Roof fall,Dumper,4,0,39,10+ years,Advanced,Morning,82,69.38793869293275,High
2017,Gujarat,Kutch,Panandhro Lignite Mine,Underground,Haul Road,Machinery collision,Excavator,4,0,26,1–3 years,Advanced,Morning,82,69.2019714013835,High
2017,Jharkhand,Bokaro,Bokaro Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,5,0,21,1–3 years,Intermediate,Afternoon,61,100.9857928379879,Very High
2017,Jharkhand,Dhanbad,Jharia Coalfields,Opencast,Excavation Area,Machinery collision,Heavy Earth Moving Machinery,4,0,28,1–3 years,Basic,Night,58,89.07990111368603,Very High
2017,Jharkhand,Dhanbad,Jharia Coalfields,Underground,Haul Road,Fire,Dumper,5,0,22,1–3 years,Advanced,Morning,64,88.32901478864402,Very High
2017,Jharkhand,Giridih,Giridih Coalfield,Underground,Face,Gas leakage,Heavy Earth Moving Machinery,6,1,21,3–5 years,Basic,Morning,62,114.37228989319473,Very High
2017,Jharkhand,Giridih,Giridih Coalfield,Underground,Excavation Area,Gas leakage,Dumper,4,0,38,10+ years,Intermediate,Afternoon,68,79.94259432789453,High
2017,Jharkhand,Giridih,Giridih Coalfield,Underground,Haul Road,Fire,Heavy Earth Moving Machinery,5,0,37,5–10 years,Basic,Afternoon,65,107.46309804457903,Very High
2017,Jharkhand,Ramgarh,Central Coal Mine,Opencast,Haul Road,Blasting accident,Dumper,6,0,26,3–5 years,Basic,Afternoon,36,102.49533168364715,Very High
2017,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Haul Road,Roof fall,Drill,5,0,32,5–10 years,Intermediate,Night,59,70.6347860111894,High
2017,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Underground,Workshop,Machinery collision,Truck,6,0,36,1–3 years,Basic,Afternoon,63,97.42621443453531,Very High
2017,Madhya Pradesh,Shahdol,Sohagpur Coal Mine,Opencast,Excavation Area,Explosion,Drill,3,0,31,1–3 years,Certified,Afternoon,84,52.501273319090714,Moderate
2017,Madhya Pradesh,Singrauli,Nigahi Coal Mine,Opencast,Excavation Area,Roof fall,Excavator,4,0,18,<1 year,Basic,Afternoon,72,78.34833841496982,High
2017,Madhya Pradesh,Umaria,Umaria Coal Mine,Underground,Haul Road,Machinery collision,Heavy Earth Moving Machinery,7,0,24,1–3 years,,Morning,43,,Very High
2017,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Face,Blasting accident,Truck,4,0,30,5–10 years,Certified,Night,100,70.71727072659316,High
2017,Maharashtra,Chandrapur,Chandrapur Coal Mine,Underground,Shaft,Vehicle rollover,Truck,5,0,52,5–10 years,Basic,Afternoon,68,95.65350451697728,Very High
2017,Maharashtra,Chandrapur,Chandrapur Coal Mine,Opencast,Excavation Area,Vehicle rollover,Truck,7,0,32,<1 year,,Afternoon,51,,Very High
2017,Maharashtra,Nagpur,Umrer Coal Mine,Underground,Face,Gas leakage,,3,0,50,10+ years,Certified,Night,83,,Very High
